UserID,ISBN,Rating
7076,2,10
9208,3,8
17391,7,6
17391,10,0
16439,12,5
16439,13,0
16439,14,7
16439,15,0
16439,16,10
16439,17,10
16439,18,10
16439,19,0
18182,21,0
18182,29,9
730,43,8
730,44,7
16584,50,7
13096,51,7
17494,52,0
8380,55,7
10327,58,8
8899,61,9
14768,62,0
14768,63,0
14768,65,0
14768,66,9
12405,68,5
2487,69,8
15960,70,8
15435,71,10
6855,72,0
13757,73,0
13656,75,10
17262,70,9
7628,76,9
8384,77,8
902,79,0
2756,80,7
4124,84,7
17360,86,8
18153,88,0
16466,89,8
980,91,0
980,92,10
3401,93,0
15324,94,0
15324,95,0
15324,98,0
8933,101,0
4139,102,7
4139,103,10
15356,105,0
15356,106,3
15356,107,5
15356,108,8
15356,110,0
16139,111,0
16139,112,0
16139,113,0
16139,114,4
16139,115,0
16139,116,0
16139,117,0
14517,121,10
12288,122,8
3040,124,0
3040,127,5
3040,128,0
13747,129,0
13747,130,6
8904,132,7
8904,133,9
18865,134,0
7346,136,7
7820,144,0
7820,145,0
7820,146,0
7820,147,8
7820,148,7
1483,150,10
1483,152,8
7369,153,0
17147,154,5
17147,155,8
17147,156,6
17147,158,0
17147,159,0
17147,160,7
17147,161,0
17147,163,7
17147,164,8
17147,165,7
17147,166,0
17147,167,0
17147,168,10
17147,169,6
17147,170,0
17147,171,8
17147,172,8
17147,174,0
17147,175,0
17147,176,7
17147,177,6
17147,178,6
17147,179,6
17147,180,7
17147,181,0
17147,182,4
17147,183,7
17147,184,7
17147,185,0
17147,187,4
17147,188,0
17147,189,0
17147,191,0
17147,193,6
17147,194,4
16696,196,9
6646,200,0
6646,202,10
6646,204,0
6646,205,10
6646,206,0
6646,207,0
6646,209,0
6646,211,0
6646,216,0
6646,220,0
6646,224,3
6646,225,0
6646,229,0
6646,230,0
6646,231,0
6646,232,8
6646,233,10
6646,234,0
6646,236,0
6646,237,0
6646,238,0
6646,239,0
6646,240,0
6646,241,0
6646,243,0
6646,244,10
6646,245,10
6646,246,10
6646,247,0
6646,249,0
6646,250,8
6646,251,0
6646,252,0
6646,254,6
6646,255,0
6646,256,0
6646,257,0
6646,259,0
6646,260,0
6646,263,0
6646,264,0
5406,266,10
4438,267,10
4438,279,0
6035,311,0
6035,312,0
6035,313,0
6035,314,0
6035,315,0
6035,316,0
5670,319,8
418,321,8
418,322,7
13213,324,0
10256,326,10
16290,329,0
16290,331,0
16290,332,0
16290,333,10
16290,334,10
16290,335,0
16290,336,7
353,337,7
353,338,10
353,339,0
353,340,10
4778,344,0
4778,347,0
4778,352,0
13,354,9
13,356,9
12181,358,10
10479,365,5
10479,366,0
12861,367,7
770,370,7
7852,373,10
7852,374,0
7852,375,7
7852,377,0
7852,378,10
7852,379,10
7852,381,6
7852,382,0
7852,383,7
15738,385,7
8280,386,0
15781,387,4
15781,388,0
15781,389,8
15781,391,0
15781,392,8
15781,393,0
15781,394,0
15781,395,0
15781,396,0
15781,397,0
15781,398,0
15781,400,0
15781,401,0
15781,402,0
15781,403,0
15781,404,0
15781,405,10
15781,406,5
15781,407,0
15781,408,10
15781,409,7
15781,410,6
15781,411,0
15781,72,5
15781,412,0
15781,413,9
15781,414,3
15781,415,0
15781,416,0
15781,417,0
15781,418,0
15781,419,10
15781,420,10
15781,421,0
15781,422,0
15781,423,0
15781,424,0
15781,425,0
18846,426,0
18764,428,0
18764,430,0
18764,431,5
18764,434,8
18764,435,0
14212,441,0
7743,442,9
7743,443,7
1644,444,5
4160,446,9
14437,447,7
14437,448,9
16608,449,0
15577,450,10
15577,451,0
10357,458,8
10357,459,9
10357,467,0
10357,468,9
10357,469,0
10357,70,0
10357,487,9
10357,391,0
10357,489,0
10357,490,9
10357,159,0
10357,491,0
10357,495,0
10357,393,0
10357,496,0
10357,500,0
10357,502,9
10357,503,0
10357,508,0
10357,509,0
10357,517,5
10357,518,0
10357,520,0
10357,522,0
10357,523,0
10357,524,8
10357,525,0
10357,526,8
10357,529,0
10357,530,8
10357,531,8
10357,535,0
10357,536,7
10357,537,0
10357,538,7
10357,542,10
10357,543,6
10357,107,0
10357,545,7
10357,546,0
10357,547,0
10357,548,9
10357,552,0
10357,554,0
10357,555,0
10357,556,0
10357,559,0
10357,560,0
10357,249,0
10357,563,0
10357,564,7
10357,565,0
10357,567,0
10357,572,0
10357,573,0
10357,575,0
10357,576,0
10357,577,8
10357,578,0
10357,579,0
10357,580,0
10357,581,0
10357,582,0
10357,583,0
10357,584,0
10357,585,0
10357,586,0
10357,590,6
10357,594,0
10357,315,0
10357,596,0
10357,597,5
10357,598,6
10357,599,0
10357,605,10
10357,610,0
10357,613,0
10357,618,0
10357,621,8
10357,623,0
10357,626,0
10357,640,0
10357,641,0
10357,646,0
10357,647,0
10357,667,0
10357,675,0
10357,679,0
10357,680,0
10357,686,7
10357,687,0
10357,691,0
10357,692,0
10357,694,0
10357,695,0
10357,696,0
10357,697,0
10357,706,0
10357,710,0
10357,711,8
10357,714,0
10357,715,8
10357,716,0
18677,719,8
8641,726,0
8641,727,0
8641,728,0
8641,729,0
1327,731,8
11995,732,10
11301,735,0
11301,736,0
11301,737,0
11301,738,0
11301,739,0
6533,747,5
9028,748,7
16595,749,9
18825,753,7
18825,754,7
18825,756,0
18825,757,5
18825,758,0
8421,759,6
8421,760,8
8421,761,8
8421,762,7
8421,763,0
8421,764,10
15177,767,0
6819,771,0
6819,772,8
6819,774,0
6819,776,0
3841,778,0
18608,779,8
18608,780,8
18608,781,9
18608,782,9
18608,783,9
17967,784,0
12990,785,8
12990,786,6
12990,787,4
6444,788,0
14942,790,0
5339,791,6
5339,792,7
5339,393,8
5339,793,7
5339,795,9
5339,796,8
5339,797,8
5339,798,8
5339,799,6
5339,800,7
5339,801,7
5339,802,6
5339,804,7
5339,805,8
5339,806,8
5339,807,0
7136,808,0
7136,814,7
7136,820,0
3628,839,8
3628,840,5
3628,841,5
3628,842,0
3628,843,0
3628,844,8
4587,845,0
19386,847,0
19386,848,0
19386,850,0
19386,851,0
19386,852,0
19386,853,0
19386,854,0
19386,857,0
19386,858,0
19386,859,0
19386,860,0
13374,861,7
16219,863,9
16219,864,0
16219,866,0
16219,867,8
16219,868,0
16219,872,0
16219,873,9
16219,874,10
16219,875,10
16219,881,10
16219,882,10
16219,885,10
16219,886,0
16219,887,10
16219,888,0
