User-ID,User-name,Location,Age
2,user2,stockton-california-usa,18
10,user10,albacete-wisconsin-spain,26
19,user19,weston-,14
20,user20,langhorne-pennsylvania-usa,19
36,user36,montreal-quebec-canada,24
42,user42,appleton-wisconsin-usa,17
44,user44,black mountain-north carolina-usa,51
51,user51,renton-washington-usa,34
56,user56,cheyenne-wyoming-usa,24
64,user64,lyon-rhone-france,32
67,user67,framingham-massachusetts-usa,43
70,user70,rochester-new york-usa,44
75,user75,long beach-california-usa,37
78,user78,oakland-california-usa,18
79,user79,ottawa-ontario-canada,20
85,user85,london-england-united kingdom,41
92,user92,castellar del valles-barcelona-spain,20
99,user99,franktown-colorado-usa,42
109,user109,muncie-indiana-usa,20
114,user114,ligonier-pennsylvania-usa,57
125,user125,lansing-michigan-usa,49
129,user129,bloomington-minnesota-usa,47
132,user132,silver spring-maryland-usa,38
133,user133,jacksonville-florida-usa,45
139,user139,baltimore-maryland-usa,35
144,user144,cape girardeau-missouri-usa,62
160,user160,almada-n/a-portugal,20
165,user165,olympia-washington-usa,62
176,user176,london-london-united kingdom,34
178,user178,rexford-new york-usa,28
183,user183,porto-porto-portugal,27
185,user185,baton rouge-louisiana-usa,17
190,user190,wezembeek-oppem-brussels-belgium,33
193,user193,mumbai-maharashtra-india,23
199,user199,austin-texas-usa,38
202,user202,ottawa-ontario-canada,28
204,user204,turner-oregon-usa,15
212,user212,manila-n/a-philippines,21
215,user215,port alberni-british columbia-canada,20
228,user228,ann arbor-michigan-usa,41
232,user232,mumbai-maharashtra-india,16
237,user237,plymouth-minnesota-usa,27
242,user242,neuffen-baden-wuerttemberg-germany,37
247,user247,zografou-athens-greece,23
250,user250,minneapolis-minnesota-usa,25
254,user254,minneapolis-minnesota-usa,24
272,user272,walla walla-washington-usa,20
278,user278,chicago-illinois-usa,21
289,user289,tampa-florida-usa,15
302,user302,capitola-california-usa,53
310,user310,barcelona-n/a-spain,26
311,user311,ridderkerk-n/a-netherlands,34
323,user323,seattle-washington-usa,23
332,user332,lake oswego-oregon-usa,59
334,user334,jyväskylä-n/a-finland,27
337,user337,málaga-n/a-spain,17
339,user339,tampere-pirkanmaa-finland,20
345,user345,columbia-tennessee-usa,27
361,user361,premià de dalt-barcelona-spain,25
362,user362,thunder bay-ontario-canada,63
367,user367,culver city-california-usa,45
372,user372,bamberg-bayern-germany,22
376,user376,fishers-indiana-usa,35
384,user384,bucuresti-n/a-romania,23
387,user387,charity-missouri-usa,17
388,user388,nashville-tennessee-usa,35
392,user392,barcelona-catalunya-spain,44
393,user393,brighton-east sussex-united kingdom,24
406,user406,madrid-madrid-spain,37
408,user408,mountain view-california-usa,17
413,user413,naperville-illinois-usa,17
422,user422,edmonton-alberta-canada,23
424,user424,portland-oregon-usa,29
431,user431,ridgway-pennsylvania-usa,40
433,user433,smock-pennsylvania-usa,48
440,user440,brookfield-wisconsin-usa,16
444,user444,sweet home-oregon-usa,40
463,user463,rouse hill-new south wales-australia,20
469,user469,corona-california-usa,18
475,user475,vancouver-british columbia-canada,34
483,user483,shelton-washington-usa,72
486,user486,portland-oregon-usa,31
493,user493,manhattan-kansas-usa,29
496,user496,west salem-wisconsin-usa,51
499,user499,la verne-california-usa,62
